time_s,phase_rad,phase_deg,crossing_count,any_crossing,core_crossing_count,any_core_crossing,minimum_estimated_clearance_m,foot_endpoint_distance_m,front_thigh__rear_thigh_crossing,front_thigh__rear_thigh_core_crossing,front_thigh__rear_thigh_centerline_distance_m,front_thigh__rear_thigh_estimated_clearance_m,front_thigh__rear_shank_crossing,front_thigh__rear_shank_core_crossing,front_thigh__rear_shank_centerline_distance_m,front_thigh__rear_shank_estimated_clearance_m,front_shank__rear_thigh_crossing,front_shank__rear_thigh_core_crossing,front_shank__rear_thigh_centerline_distance_m,front_shank__rear_thigh_estimated_clearance_m,front_shank__rear_shank_crossing,front_shank__rear_shank_core_crossing,front_shank__rear_shank_centerline_distance_m,front_shank__rear_shank_estimated_clearance_m
7.9499999999993465,54.231264212843605,3107.2225570547994,0.0,0.0,0.0,0.0,0.04850992386054133,0.04653462384042604,0.0,0.0,0.14999999999999938,0.12599999999999936,0.0,0.0,0.1745270144761654,0.15252701447616537,0.0,0.0,0.17899282282839418,0.15699282282839416,0.0,0.0,0.06850992386054133,0.04850992386054133
7.951999999999346,54.25382363499588,3108.5151167323784,0.0,0.0,0.0,0.0,0.044063285555349344,0.04164484287452445,0.0,0.0,0.14999999999999986,0.12599999999999983,0.0,0.0,0.17133032430824274,0.14933032430824272,0.0,0.0,0.17649146222736994,0.15449146222736992,0.0,0.0,0.06406328555534935,0.044063285555349344
7.953999999999346,54.276726734402885,3109.8273676661684,0.0,0.0,0.0,0.0,0.039581856636774305,0.03673926849475736,0.0,0.0,0.15000000000000013,0.1260000000000001,0.0,0.0,0.1679918812285513,0.14599188122855128,0.0,0.0,0.17399260537670835,0.15199260537670833,0.0,0.0,0.05958185663677431,0.039581856636774305
7.955999999999346,54.29890435647548,3111.0980518105644,0.0,0.0,0.0,0.0,0.035085194213899495,0.03185581010159679,0.0,0.0,0.14999999999999988,0.12599999999999986,0.0,0.0,0.1645186409174757,0.14251864091747568,0.0,0.0,0.17150349122315617,0.14950349122315615,0.0,0.0,0.0550851942138995,0.035085194213899495
7.957999999999346,54.320695757514514,3112.346607119778,0.0,0.0,0.0,0.0,0.030377555046324604,0.026805152012504437,0.0,0.0,0.1500000000000009,0.1260000000000009,0.0,0.0,0.16088017555544204,0.13888017555544202,0.0,0.0,0.1687858165366374,0.1467858165366374,0.0,0.0,0.05037755504632461,0.030377555046324604
7.959999999999345,54.34231729897218,3113.5854301918694,0.0,0.0,0.0,0.0,0.02554296270350454,0.021733524015191488,0.0,0.0,0.15000000000000077,0.12600000000000075,0.0,0.0,0.15709195238371434,0.13509195238371433,0.0,0.0,0.1659251873559373,0.1439251873559373,0.0,0.0,0.045542962703504546,0.02554296270350454
7.961999999999345,54.363902118176995,3114.822149233858,0.0,0.0,0.0,0.0,0.02065334765339731,0.01685228790019634,0.0,0.0,0.15000000000000002,0.126,0.0,0.0,0.1531675631137027,0.13116756311370267,0.0,0.0,0.16298370730397532,0.1409837073039753,0.0,0.0,0.040653347653397315,0.02065334765339731
7.963999999999345,54.38552806733994,3116.0612248488596,0.0,0.0,0.0,0.0,0.015776608534256366,0.012586694870045089,0.0,0.0,0.15000000000000083,0.1260000000000008,0.0,0.0,0.14911935440412988,0.12711935440412986,0.0,0.0,0.16000607879413378,0.13800607879413376,0.0,0.0,0.03577660853425637,0.015776608534256366
7.965999999999345,54.4072370847887,3117.305059926049,0.0,0.0,0.0,0.0,0.010987048941668161,0.009925859689113829,0.0,0.0,0.14999999999999983,0.1259999999999998,0.0,0.0,0.14495891996949956,0.12295891996949955,0.0,0.0,0.15702444167456842,0.1350244416745684,0.0,0.0,0.030987048941668163,0.010987048941668161
7.9679999999993445,54.42905463595173,3118.5551135270016,0.0,0.0,0.0,0.0,0.006381129774136624,0.010279604745440834,0.0,0.0,0.15000000000000013,0.1260000000000001,0.0,0.0,0.14069746624451226,0.11869746624451226,0.0,0.0,0.15406205561885342,0.1320620556188534,0.0,0.0,0.026381129774136626,0.006381129774136624
7.969999999999344,54.45099279783592,3119.8120776132405,0.0,0.0,0.0,0.0,0.0021022460030235,0.013418352351795896,0.0,0.0,0.14999999999999922,0.1259999999999992,0.0,0.0,0.13634665794207623,0.11434665794207624,0.0,0.0,0.15113349869897777,0.12913349869897775,0.0,0.0,0.0221022460030235,0.0021022460030235
7.971999999999344,54.47305430885815,3121.076109084496,1.0,1.0,0.0,0.0,-0.0016104115214868146,0.017915836390252387,0.0,0.0,0.15000000000000083,0.1260000000000008,0.0,0.0,0.13191819970352162,0.10991819970352162,0.0,0.0,0.1482493625589424,0.12624936255894237,1.0,0.0,0.018389588478513186,-0.0016104115214868146
7.973999999999344,54.495236507349546,3122.347055438374,1.0,1.0,0.0,0.0,-0.004618708458875425,0.022957059522842514,0.0,0.0,0.14999999999999986,0.12599999999999983,0.0,0.0,0.1274237892329418,0.1054237892329418,0.0,0.0,0.14541810886821754,0.12341810886821754,1.0,0.0,0.015381291541124576,-0.004618708458875425
7.975999999999344,54.51753380166316,3123.624596297105,1.0,1.0,0.0,0.0,-0.007375803918936864,0.028215950733730167,0.0,0.0,0.1499999999999999,0.1259999999999999,0.0,0.0,0.12287519166224828,0.10087519166224829,0.0,0.0,0.14264665576198512,0.12064665576198512,1.0,0.0,0.012624196081063136,-0.007375803918936864
7.977999999999343,54.540037599814696,3124.9139689542026,1.0,1.0,0.0,0.0,-0.009909189872034067,0.03355116060968651,0.0,0.0,0.14999999999999933,0.1259999999999993,0.0,0.0,0.11828425917149549,0.0962842591714955,0.0,0.0,0.13994075572088296,0.11794075572088296,1.0,0.0,0.010090810127965933,-0.009909189872034067
7.979999999999343,54.56272956888208,3126.214123010605,1.0,1.0,0.0,0.0,-0.012196547025756146,0.03887873489607461,0.0,0.0,0.14999999999999936,0.12599999999999933,0.0,0.0,0.11366823091513761,0.09166823091513762,0.0,0.0,0.13732341417484303,0.11532341417484303,1.0,0.0,0.0078034529742438555,-0.012196547025756146
7.981999999999343,54.58559187429549,3127.524036620732,1.0,1.0,0.0,0.0,-0.014237625776694521,0.04415573272571869,0.0,0.0,0.1500000000000005,0.12600000000000047,0.0,0.0,0.10903885927832925,0.08703885927832926,0.0,0.0,0.13479678773608952,0.11279678773608953,1.0,0.0,0.005762374223305478,-0.014237625776694521
7.983999999999343,54.60860722987231,3128.8427193592775,1.0,1.0,0.0,0.0,-0.016033929094605652,0.04935412430239547,0.0,0.0,0.15000000000000044,0.12600000000000042,0.0,0.0,0.10441150735891074,0.08241150735891074,0.0,0.0,0.13236230836987606,0.11036230836987607,1.0,0.0,0.0039660709053943475,-0.016033929094605652
